Country,casel7days,casep7days,week%change,casel7daysp1m,deathsl7days,deathsp7days,WeeklyDeathpChange,Deathslast7daysp1m,Population,cc
Argentina,18322,36321,-50,399,415,307,35,9.0,45913837,ARG
Bolivia,1595,2312,-31,133,5,9,-44,0.4,11948668,BOL
Brazil,211934,261708,-19,985,1665,2122,-22,8.0,215175647,BRA
Chile,56504,91843,-38,2913,539,803,-33,28.0,19400316,CHL
Colombia,2512,4312,-42,48,121,155,-22,2.0,51821865,COL
Ecuador,3284,4629,-29,181,8,63,-87,0.4,18106806,ECU
Falkland Islands,1,0,100,274,0,0,0,0.0,3655,FLK
French Guiana,323,251,29,1035,0,0,0,0.0,312076,GIN
Guyana,40,50,-20,50,0,2,-100,0.0,793124,GUY
Paraguay,807,1216,-34,111,28,48,-42,4.0,7284217,PRY
Peru,4006,4901,-18,119,263,319,-18,8.0,33766958,PER
Suriname,222,174,28,373,1,2,-50,2.0,595733,SUR
Uruguay,8768,10937,-20,2509,13,43,-70,4.0,3494576,URY
Venezuela,443,1260,-65,16,11,10,10,0.4,28296430,VEN
Bahamas,35,27,30,88,1,16,-94,3.0,399750,BHS
Belize,88,109,-19,215,0,2,-100,0.0,410121,BLZ
Canada,39489,36428,8,1031,255,285,-11,7.0,38315113,CAN
Costa Rica,3998,6024,-34,773,31,57,-46,6.0,5174658,CRI
Cuba,5711,4687,22,505,3,3,0,0.3,11314645,CUB
Dominican Republic,503,697,-28,46,0,1,-100,0.0,11036254,DOM
El Salvador,0,4688,-100,0,7,11,-36,1.0,6542875,SLV
Greenland,45,70,-36,790,1,0,100,18.0,56941,GRL
Guatemala,8366,11106,-25,452,47,85,-45,3.0,18489145,GTM
Haiti,33,17,94,3,0,0,0,0.0,11643175,HTI
Honduras,2321,1571,48,228,14,23,-39,1.0,10177284,HND
Jamaica,140,160,-13,47,12,22,-45,4.0,2983547,JAM
Mexico,16049,28292,-43,122,663,1018,-35,5.0,131278063,MEX
Nicaragua,75,87,-14,11,0,1,-100,0.0,6761004,NIC
Panama,1975,1872,6,446,8,19,-58,2.0,4432339,PAN
Trinidad and Tobago,1731,2164,-20,1230,22,28,-21,16.0,1407335,TTO
USA,170436,204612,-17,510,3907,5918,-34,12.0,334363543,USA
