Country/Other,Cases in the last 7 days,Cases in the preceding 7 days,Weekly Case % Change,Cases in the last 7 days/1M pop,Deaths in the last 7 days,Deaths in the preceding 7 days,Weekly Death % Change,Deaths in the last 7 days/1M pop,Population
Anguilla,38,21,81,2494,0,0,0,0.0,15235
Antigua and Barbuda,12,7,71,121,0,0,0,0.0,99333
Aruba,86,47,83,800,0,0,0,0.0,107551
Bahamas,35,27,30,88,1,16,-94,3.0,399750
Barbados,799,710,13,2774,1,4,-75,3.0,287984
Belize,88,109,-19,215,0,2,-100,0.0,410121
Bermuda,260,244,7,4202,1,2,-50,16.0,61880
British Virgin Islands,37,0,3700,1210,0,0,0,0.0,30579
Canada,39489,36428,8,1031,255,285,-11,7.0,38315113
Caribbean Netherlands,411,125,229,15425,0,0,0,0.0,26645
Cayman Islands,1173,0,117300,17492,2,5,-60,30.0,67058
Costa Rica,3998,6024,-34,773,31,57,-46,6.0,5174658
Cuba,5711,4687,22,505,3,3,0,0.3,11314645
Curaçao,364,394,-8,2203,2,0,200,12.0,165255
Dominica,63,222,-72,871,1,0,100,14.0,72296
Dominican Republic,503,697,-28,46,0,1,-100,0.0,11036254
El Salvador,0,4688,-100,0,7,11,-36,1.0,6542875
Greenland,45,70,-36,790,1,0,100,18.0,56941
Grenada,46,246,-81,406,1,1,0,9.0,113426
Guatemala,8366,11106,-25,452,47,85,-45,3.0,18489145
Haiti,33,17,94,3,0,0,0,0.0,11643175
Honduras,2321,1571,48,228,14,23,-39,1.0,10177284
Jamaica,140,160,-13,47,12,22,-45,4.0,2983547
Martinique,5534,9660,-43,14767,4,5,-20,11.0,374761
Mexico,16049,28292,-43,122,663,1018,-35,5.0,131278063
Montserrat,1,8,-88,200,0,0,0,0.0,4997
Nicaragua,75,87,-14,11,0,1,-100,0.0,6761004
Panama,1975,1872,6,446,8,19,-58,2.0,4432339
Saint Kitts and Nevis,0,8,-100,0,0,0,0,0.0,53851
Saint Lucia,45,37,22,243,0,0,0,0.0,185080
Saint Pierre Miquelon,88,377,-77,15318,0,0,0,0.0,5745
Sint Maarten,41,20,105,938,1,0,100,23.0,43719
St. Vincent Grenadines,1,3,-67,9,0,0,0,0.0,111550
Trinidad and Tobago,1731,2164,-20,1230,22,28,-21,16.0,1407335
Turks and Caicos,14,0,1400,353,0,0,0,0.0,39624
USA,170436,204612,-17,510,3907,5918,-34,12.0,334363543
